Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Non-random,250,0.7,Edge,X-learner,Omit covariate,0.694,0.190,"[0.640, 0.748]",0.575,0.096,"[0.547, 0.602]",0.463,0.156,"[0.419, 0.508]",4.179,0.451,"[4.051, 4.307]",50
Non-random,250,0.7,Edge,DR-learner,Omit covariate,0.890,0.211,"[0.830, 0.950]",0.691,0.123,"[0.656, 0.726]",0.744,0.258,"[0.671, 0.817]",5.222,0.930,"[4.958, 5.487]",50
Non-random,500,0.7,Random,S-learner,No omission,0.665,0.204,"[0.607, 0.722]",0.602,0.095,"[0.575, 0.629]",0.425,0.069,"[0.405, 0.445]",7.022,0.379,"[6.915, 7.130]",50
Non-random,500,0.7,Random,T-learner,No omission,0.526,0.270,"[0.449, 0.603]",0.507,0.081,"[0.484, 0.530]",0.371,0.072,"[0.350, 0.391]",5.470,0.412,"[5.353, 5.587]",50
Non-random,500,0.7,Random,X-learner,No omission,0.443,0.237,"[0.375, 0.510]",0.385,0.062,"[0.368, 0.403]",0.224,0.028,"[0.216, 0.232]",4.886,0.248,"[4.816, 4.957]",50
Non-random,500,0.7,Random,DR-learner,No omission,0.524,0.254,"[0.452, 0.596]",0.489,0.083,"[0.465, 0.513]",0.334,0.054,"[0.318, 0.349]",5.341,0.337,"[5.246, 5.437]",50
Non-random,500,0.7,Core,S-learner,No omission,0.730,0.093,"[0.704, 0.757]",0.569,0.083,"[0.546, 0.593]",0.391,0.075,"[0.369, 0.412]",4.105,0.245,"[4.035, 4.174]",50
Non-random,500,0.7,Core,T-learner,No omission,0.533,0.293,"[0.450, 0.616]",0.523,0.073,"[0.502, 0.543]",0.395,0.074,"[0.373, 0.416]",4.126,0.516,"[3.980, 4.273]",50
Non-random,500,0.7,Core,X-learner,No omission,0.588,0.218,"[0.526, 0.650]",0.498,0.059,"[0.481, 0.515]",0.307,0.050,"[0.293, 0.321]",3.775,0.319,"[3.684, 3.865]",50
Non-random,500,0.7,Core,DR-learner,No omission,0.551,0.219,"[0.489, 0.613]",0.489,0.066,"[0.470, 0.508]",0.335,0.065,"[0.317, 0.354]",3.709,0.305,"[3.622, 3.796]",50
Non-random,500,0.7,Edge,S-learner,No omission,0.771,0.127,"[0.735, 0.807]",0.626,0.096,"[0.599, 0.654]",0.626,0.177,"[0.576, 0.676]",5.748,0.456,"[5.619, 5.878]",50
Non-random,500,0.7,Edge,T-learner,No omission,0.650,0.268,"[0.573, 0.726]",0.593,0.096,"[0.565, 0.620]",0.549,0.150,"[0.506, 0.591]",4.697,0.597,"[4.527, 4.866]",50
Non-random,500,0.7,Edge,X-learner,No omission,0.529,0.234,"[0.462, 0.595]",0.465,0.077,"[0.444, 0.487]",0.264,0.059,"[0.247, 0.281]",3.506,0.245,"[3.437, 3.576]",50
Non-random,500,0.7,Edge,DR-learner,No omission,0.655,0.305,"[0.568, 0.742]",0.574,0.101,"[0.545, 0.602]",0.498,0.173,"[0.449, 0.548]",4.382,0.558,"[4.224, 4.541]",50
Non-random,500,0.7,Random,S-learner,Omit covariate,0.650,0.189,"[0.597, 0.704]",0.532,0.093,"[0.505, 0.558]",0.388,0.063,"[0.371, 0.406]",6.597,0.432,"[6.474, 6.720]",50
Non-random,500,0.7,Random,T-learner,Omit covariate,0.548,0.277,"[0.469, 0.626]",0.516,0.089,"[0.491, 0.542]",0.387,0.059,"[0.371, 0.404]",5.610,0.407,"[5.495, 5.726]",50
Non-random,500,0.7,Random,X-learner,Omit covariate,0.555,0.263,"[0.480, 0.629]",0.396,0.048,"[0.383, 0.410]",0.252,0.032,"[0.242, 0.261]",4.972,0.294,"[4.889, 5.055]",50
Non-random,500,0.7,Random,DR-learner,Omit covariate,0.542,0.266,"[0.466, 0.617]",0.485,0.092,"[0.459, 0.512]",0.348,0.072,"[0.327, 0.368]",5.420,0.372,"[5.314, 5.526]",50
Non-random,500,0.7,Core,S-learner,Omit covariate,0.677,0.148,"[0.635, 0.719]",0.553,0.075,"[0.531, 0.574]",0.398,0.077,"[0.377, 0.420]",3.924,0.221,"[3.861, 3.986]",50
Non-random,500,0.7,Core,T-learner,Omit covariate,0.565,0.295,"[0.481, 0.649]",0.573,0.084,"[0.549, 0.597]",0.426,0.085,"[0.401, 0.450]",4.584,0.661,"[4.396, 4.772]",50
Non-random,500,0.7,Core,X-learner,Omit covariate,0.634,0.200,"[0.577, 0.691]",0.493,0.066,"[0.474, 0.511]",0.319,0.056,"[0.303, 0.335]",3.818,0.371,"[3.713, 3.924]",50
Non-random,500,0.7,Core,DR-learner,Omit covariate,0.595,0.230,"[0.530, 0.661]",0.525,0.080,"[0.503, 0.548]",0.372,0.082,"[0.349, 0.395]",4.178,0.455,"[4.049, 4.308]",50
Non-random,500,0.7,Edge,S-learner,Omit covariate,0.745,0.096,"[0.718, 0.773]",0.578,0.094,"[0.551, 0.605]",0.516,0.170,"[0.468, 0.564]",5.340,0.578,"[5.176, 5.504]",50
Non-random,500,0.7,Edge,T-learner,Omit covariate,0.758,0.134,"[0.720, 0.796]",0.613,0.099,"[0.584, 0.641]",0.609,0.171,"[0.561, 0.658]",5.032,0.791,"[4.807, 5.257]",50
Non-random,500,0.7,Edge,X-learner,Omit covariate,0.643,0.146,"[0.601, 0.684]",0.448,0.072,"[0.428, 0.469]",0.291,0.072,"[0.270, 0.311]",3.589,0.270,"[3.512, 3.665]",50
Non-random,500,0.7,Edge,DR-learner,Omit covariate,0.702,0.256,"[0.629, 0.774]",0.572,0.122,"[0.537, 0.606]",0.506,0.188,"[0.452, 0.559]",4.658,0.688,"[4.462, 4.853]",50
Non-random,1000,0.7,Random,S-learner,No omission,0.577,0.199,"[0.520, 0.633]",0.523,0.075,"[0.501, 0.544]",0.337,0.053,"[0.322, 0.352]",6.443,0.279,"[6.363, 6.522]",50
Non-random,1000,0.7,Random,T-learner,No omission,0.603,0.249,"[0.532, 0.673]",0.415,0.075,"[0.393, 0.436]",0.290,0.044,"[0.278, 0.303]",5.097,0.296,"[5.013, 5.181]",50
Non-random,1000,0.7,Random,X-learner,No omission,0.326,0.197,"[0.270, 0.382]",0.343,0.039,"[0.332, 0.354]",0.189,0.019,"[0.183, 0.194]",4.575,0.199,"[4.519, 4.632]",50
Non-random,1000,0.7,Random,DR-learner,No omission,0.443,0.262,"[0.369, 0.518]",0.437,0.061,"[0.420, 0.455]",0.253,0.036,"[0.243, 0.263]",4.933,0.308,"[4.845, 5.020]",50
Non-random,1000,0.7,Core,S-learner,No omission,0.684,0.104,"[0.655, 0.714]",0.511,0.079,"[0.489, 0.533]",0.295,0.050,"[0.281, 0.309]",3.728,0.176,"[3.678, 3.778]",50
Non-random,1000,0.7,Core,T-learner,No omission,0.568,0.246,"[0.498, 0.638]",0.523,0.071,"[0.502, 0.543]",0.347,0.053,"[0.332, 0.362]",3.886,0.384,"[3.777, 3.995]",50
Non-random,1000,0.7,Core,X-learner,No omission,0.604,0.157,"[0.559, 0.648]",0.463,0.051,"[0.448, 0.477]",0.249,0.038,"[0.239, 0.260]",3.433,0.274,"[3.355, 3.511]",50
Non-random,1000,0.7,Core,DR-learner,No omission,0.449,0.244,"[0.380, 0.518]",0.455,0.061,"[0.438, 0.473]",0.279,0.050,"[0.264, 0.293]",3.425,0.309,"[3.337, 3.513]",50
Non-random,1000,0.7,Edge,S-learner,No omission,0.740,0.093,"[0.714, 0.767]",0.569,0.080,"[0.546, 0.592]",0.469,0.121,"[0.434, 0.503]",5.055,0.401,"[4.941, 5.169]",50
Non-random,1000,0.7,Edge,T-learner,No omission,0.636,0.222,"[0.573, 0.699]",0.516,0.078,"[0.494, 0.538]",0.390,0.103,"[0.360, 0.419]",4.116,0.411,"[3.999, 4.233]",50
Non-random,1000,0.7,Edge,X-learner,No omission,0.546,0.187,"[0.493, 0.599]",0.406,0.068,"[0.387, 0.426]",0.211,0.043,"[0.199, 0.223]",3.229,0.212,"[3.168, 3.289]",50
Non-random,1000,0.7,Edge,DR-learner,No omission,0.553,0.251,"[0.482, 0.625]",0.467,0.102,"[0.438, 0.496]",0.332,0.126,"[0.296, 0.368]",3.799,0.365,"[3.696, 3.903]",50
Non-random,1000,0.7,Random,S-learner,Omit covariate,0.547,0.246,"[0.477, 0.617]",0.463,0.059,"[0.446, 0.480]",0.298,0.034,"[0.288, 0.307]",6.004,0.304,"[5.918, 6.090]",50
Non-random,1000,0.7,Random,T-learner,Omit covariate,0.474,0.242,"[0.405, 0.542]",0.470,0.059,"[0.453, 0.487]",0.326,0.052,"[0.311, 0.341]",5.240,0.324,"[5.147, 5.332]",50
Non-random,1000,0.7,Random,X-learner,Omit covariate,0.373,0.222,"[0.310, 0.436]",0.355,0.044,"[0.342, 0.367]",0.207,0.020,"[0.202, 0.213]",4.628,0.218,"[4.566, 4.690]",50
Non-random,1000,0.7,Random,DR-learner,Omit covariate,0.402,0.238,"[0.334, 0.470]",0.445,0.055,"[0.430, 0.461]",0.271,0.037,"[0.260, 0.281]",4.950,0.270,"[4.873, 5.027]",50
Non-random,1000,0.7,Core,S-learner,Omit covariate,0.726,0.078,"[0.703, 0.748]",0.525,0.082,"[0.502, 0.549]",0.340,0.055,"[0.324, 0.355]",3.684,0.169,"[3.636, 3.732]",50
Non-random,1000,0.7,Core,T-learner,Omit covariate,0.611,0.251,"[0.540, 0.682]",0.524,0.076,"[0.502, 0.545]",0.368,0.058,"[0.352, 0.385]",4.186,0.370,"[4.081, 4.291]",50
Non-random,1000,0.7,Core,X-learner,Omit covariate,0.582,0.192,"[0.527, 0.636]",0.461,0.033,"[0.451, 0.470]",0.273,0.035,"[0.263, 0.284]",3.585,0.213,"[3.524, 3.646]",50
Non-random,1000,0.7,Core,DR-learner,Omit covariate,0.541,0.224,"[0.477, 0.604]",0.451,0.060,"[0.434, 0.468]",0.290,0.054,"[0.274, 0.305]",3.801,0.450,"[3.673, 3.929]",50
Non-random,1000,0.7,Edge,S-learner,Omit covariate,0.698,0.087,"[0.674, 0.723]",0.535,0.068,"[0.516, 0.555]",0.387,0.103,"[0.358, 0.417]",4.577,0.365,"[4.474, 4.681]",50
Non-random,1000,0.7,Edge,T-learner,Omit covariate,0.711,0.102,"[0.682, 0.740]",0.536,0.069,"[0.517, 0.556]",0.459,0.116,"[0.426, 0.492]",4.648,0.519,"[4.501, 4.796]",50
Non-random,1000,0.7,Edge,X-learner,Omit covariate,0.580,0.193,"[0.525, 0.635]",0.424,0.080,"[0.401, 0.446]",0.242,0.050,"[0.228, 0.256]",3.352,0.200,"[3.295, 3.409]",50
Non-random,1000,0.7,Edge,DR-learner,Omit covariate,0.607,0.240,"[0.539, 0.675]",0.482,0.082,"[0.458, 0.505]",0.361,0.105,"[0.331, 0.391]",4.119,0.354,"[4.018, 4.219]",50
