Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,1000,0.3,Core,DR-learner,No omission,0.460,0.244,"[0.391, 0.529]",0.468,0.047,"[0.455, 0.482]",0.260,0.027,"[0.252, 0.268]",3.485,0.285,"[3.404, 3.565]",50
Random,1000,0.3,Edge,S-learner,No omission,0.674,0.074,"[0.653, 0.695]",0.507,0.051,"[0.493, 0.522]",0.339,0.075,"[0.317, 0.360]",5.504,0.303,"[5.418, 5.590]",50
Random,1000,0.3,Edge,T-learner,No omission,0.545,0.190,"[0.491, 0.599]",0.411,0.064,"[0.393, 0.429]",0.223,0.052,"[0.209, 0.238]",3.260,0.269,"[3.184, 3.337]",50
Random,1000,0.3,Edge,X-learner,No omission,0.453,0.251,"[0.381, 0.524]",0.384,0.050,"[0.369, 0.398]",0.194,0.038,"[0.183, 0.205]",3.301,0.195,"[3.245, 3.356]",50
Random,1000,0.3,Edge,DR-learner,No omission,0.331,0.228,"[0.266, 0.396]",0.365,0.055,"[0.349, 0.380]",0.172,0.026,"[0.165, 0.180]",2.985,0.289,"[2.903, 3.067]",50
Random,1000,0.3,Random,S-learner,Omit covariate,0.445,0.190,"[0.391, 0.499]",0.442,0.060,"[0.425, 0.459]",0.247,0.033,"[0.238, 0.256]",6.368,0.261,"[6.294, 6.442]",50
Random,1000,0.3,Random,T-learner,Omit covariate,0.500,0.261,"[0.426, 0.574]",0.367,0.059,"[0.351, 0.384]",0.254,0.031,"[0.245, 0.263]",4.835,0.315,"[4.745, 4.924]",50
Random,1000,0.3,Random,X-learner,Omit covariate,0.336,0.218,"[0.274, 0.398]",0.378,0.044,"[0.366, 0.391]",0.236,0.023,"[0.229, 0.242]",4.918,0.187,"[4.865, 4.971]",50
Random,1000,0.3,Random,DR-learner,Omit covariate,0.425,0.256,"[0.352, 0.498]",0.349,0.053,"[0.334, 0.364]",0.209,0.021,"[0.203, 0.215]",4.464,0.239,"[4.396, 4.532]",50
Random,1000,0.3,Core,S-learner,Omit covariate,0.629,0.111,"[0.597, 0.660]",0.494,0.069,"[0.474, 0.513]",0.254,0.044,"[0.241, 0.266]",3.759,0.160,"[3.714, 3.805]",50
Random,1000,0.3,Core,T-learner,Omit covariate,0.472,0.257,"[0.400, 0.545]",0.503,0.061,"[0.485, 0.520]",0.327,0.057,"[0.311, 0.343]",3.760,0.348,"[3.661, 3.859]",50
